periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_ref_ini,fecha_ref_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1994-01,1994-01-01,1994-02-28,41,1993-01-01,1993-12-31,0.5951,0.382864,0.61876,0.458849,14.1549,216.609,14.7176,0.017312
1994-03,1994-03-01,1994-04-30,44,1993-03-01,1994-02-28,0.27112,0.173661,0.416727,0.152949,4.9352,57.5434,7.5857,0.005938
1994-05,1994-05-01,1994-06-30,44,1993-05-01,1994-04-30,0.398201,0.286057,0.534843,0.292839,5.7234,59.0959,7.6874,0.006892
1994-07,1994-07-01,1994-08-31,44,1993-07-01,1994-06-30,0.273961,0.093839,0.306331,9.413932,3.5939,16.1484,4.0185,0.004406
1994-09,1994-09-01,1994-10-31,43,1993-09-01,1994-08-31,1.707295,3.616785,1.901785,2.152222,18.133,407.9873,20.1987,0.021619
1994-11,1994-11-01,1994-12-31,44,1993-11-01,1994-10-31,0.641509,0.456251,0.675463,1.56259,7.6066,64.1474,8.0092,0.00918
1995-01,1995-01-01,1995-02-28,42,1994-01-01,1994-12-31,1.766592,3.688746,1.920611,0.734286,17.2595,352.0978,18.7643,0.020268
1995-03,1995-03-01,1995-04-30,43,1994-03-01,1995-02-28,1.024,1.305498,1.142584,0.302626,12.0477,180.7107,13.4429,0.013817
1995-05,1995-05-01,1995-06-30,45,1994-05-01,1995-04-30,0.160738,0.037778,0.194366,0.076735,2.8149,11.5858,3.4038,0.003213
1995-07,1995-07-01,1995-08-31,44,1994-07-01,1995-06-30,1.513921,3.770391,1.94175,0.410538,33.3659,1831.4149,42.795,0.035672
1995-09,1995-09-01,1995-10-31,43,1994-09-01,1995-08-31,0.525845,0.402312,0.634281,0.138179,16.5665,399.3091,19.9827,0.01685
1995-11,1995-11-01,1995-12-31,43,1994-11-01,1995-10-31,0.13984,0.027454,0.165693,0.065927,6.8958,66.7605,8.1707,0.006959
1996-01,1996-01-01,1996-02-29,44,1995-01-01,1995-12-31,0.555479,0.37419,0.611711,0.277135,31.0657,1170.3593,34.2105,0.030286
1996-03,1996-03-01,1996-04-30,43,1995-03-01,1996-02-29,0.131498,0.023613,0.153666,0.071871,7.8648,84.4693,9.1907,0.007487
1996-05,1996-05-01,1996-06-30,43,1995-05-01,1996-04-30,0.117106,0.017867,0.133667,0.07129,7.1593,66.7778,8.1718,0.006686
1996-07,1996-07-01,1996-08-31,45,1995-07-01,1996-06-30,0.281889,0.130213,0.360851,0.38802,14.8102,359.4362,18.9588,0.014177
1996-09,1996-09-01,1996-10-31,44,1995-09-01,1996-08-31,0.482495,0.341556,0.584428,5.018889,16.9534,421.6872,20.535,0.016678
1996-11,1996-11-01,1996-12-31,43,1995-11-01,1996-10-31,0.125072,0.025651,0.160159,0.089764,3.3449,18.3463,4.2833,0.003354
1997-01,1997-01-01,1997-02-28,43,1996-01-01,1996-12-31,1.724061,4.115984,2.028789,1.898856,43.5639,2627.981,51.2638,0.04089
1997-03,1997-03-01,1997-04-30,43,1996-03-01,1997-02-28,0.737719,0.576998,0.759604,1.046026,19.2877,394.4145,19.8599,0.018195
1997-05,1997-05-01,1997-06-30,43,1996-05-01,1997-04-30,0.903494,0.869965,0.932719,0.681879,24.5677,643.2501,25.3624,0.022753
1997-07,1997-07-01,1997-08-31,44,1996-07-01,1997-06-30,0.909734,1.250411,1.118218,0.329036,26.3216,1046.7625,32.3537,0.023306
1997-09,1997-09-01,1997-10-31,45,1996-09-01,1997-08-31,1.883917,4.126243,2.031316,0.38205,75.7946,6678.9526,81.7249,0.060388
1997-11,1997-11-01,1997-12-31,43,1996-11-01,1997-10-31,0.176215,0.039525,0.198809,0.06773,13.978,248.6993,15.7702,0.010761
1998-01,1998-01-01,1998-02-28,42,1997-01-01,1997-12-31,0.39395,0.180694,0.425081,0.192247,37.9319,1675.2151,40.9294,0.028327
1998-03,1998-03-01,1998-04-30,44,1997-03-01,1998-02-28,0.131152,0.019825,0.1408,0.081693,14.1368,230.3347,15.1768,0.010391
1998-05,1998-05-01,1998-06-30,43,1997-05-01,1998-04-30,0.220113,0.056795,0.238318,0.154567,23.5221,648.5966,25.4676,0.016928
1998-07,1998-07-01,1998-08-31,44,1997-07-01,1998-06-30,0.168895,0.068853,0.262398,0.149707,15.4268,574.4333,23.9673,0.011017
1998-09,1998-09-01,1998-10-31,44,1997-09-01,1998-08-31,2.070934,4.855171,2.203445,0.477075,110.6625,13863.5156,117.7434,0.070602
1998-11,1998-11-01,1998-12-31,44,1997-11-01,1998-10-31,0.426667,0.27219,0.521718,0.270956,36.013,1939.1505,44.0358,0.023642
1999-01,1999-01-01,1999-02-28,41,1998-01-01,1998-12-31,0.252716,0.082209,0.28672,0.158637,23.1007,686.9171,26.2091,0.014671
1999-03,1999-03-01,1999-04-30,45,1998-03-01,1999-02-28,0.212572,0.06539,0.255714,0.222522,19.9056,573.3842,23.9454,0.012749
1999-05,1999-05-01,1999-06-30,43,1998-05-01,1999-04-30,0.592977,0.514448,0.71725,0.266743,51.1405,3826.4495,61.8583,0.030161
1999-07,1999-07-01,1999-08-31,44,1998-07-01,1999-06-30,1.15546,1.68309,1.29734,0.319733,105.3011,13978.5977,118.2311,0.056009
1999-09,1999-09-01,1999-10-31,43,1998-09-01,1999-08-31,0.365192,0.164241,0.405266,0.117639,42.704,2245.8132,47.39,0.021471
1999-11,1999-11-01,1999-12-31,45,1998-11-01,1999-10-31,0.326798,0.144705,0.380401,0.278532,55.0149,4100.9536,64.0387,0.029021
2000-01,2000-01-01,2000-02-29,42,1999-01-01,1999-12-31,0.387756,0.168554,0.410553,0.355593,65.5369,4814.9692,69.39,0.033681
2000-03,2000-03-01,2000-04-30,43,1999-03-01,2000-02-29,0.156369,0.038954,0.197368,0.145339,24.4035,948.7581,30.8019,0.012277
2000-05,2000-05-01,2000-06-30,45,1999-05-01,2000-04-30,0.782946,0.759242,0.871345,0.390431,86.4078,9247.4404,96.1636,0.040881
2000-07,2000-07-01,2000-08-31,44,1999-07-01,2000-06-30,0.360611,0.177486,0.421291,0.128734,29.4091,1180.4532,34.3577,0.013438
2000-09,2000-09-01,2000-10-31,43,1999-09-01,2000-08-31,0.274572,0.12913,0.359347,0.170551,26.636,1215.2157,34.8599,0.012262
2000-11,2000-11-01,2000-12-31,43,1999-11-01,2000-10-31,0.283465,0.131119,0.362104,0.247343,32.6453,1739.045,41.7019,0.01492
2001-01,2001-01-01,2001-02-28,43,2000-01-01,2000-12-31,0.097588,0.014435,0.120146,0.06466,10.0972,154.5346,12.4312,0.004492
2001-03,2001-03-01,2001-04-30,43,2000-03-01,2001-02-28,0.437122,0.267872,0.517563,0.224949,39.6248,2201.1777,46.9167,0.017089
2001-05,2001-05-01,2001-06-30,44,2000-05-01,2001-04-30,0.411095,0.200232,0.447473,0.246479,29.2148,1011.2393,31.8,0.012604
2001-07,2001-07-01,2001-08-31,45,2000-07-01,2001-06-30,0.121825,0.024306,0.155904,0.137183,8.0656,106.5402,10.3218,0.003512
2001-09,2001-09-01,2001-10-31,43,2000-09-01,2001-08-31,0.362579,0.171273,0.413851,0.30519,23.0865,694.3842,26.3512,0.0099
2001-11,2001-11-01,2001-12-31,43,2000-11-01,2001-10-31,0.10817,0.024221,0.155631,1.524926,6.5709,89.3792,9.4541,0.002856
2002-01,2002-01-01,2002-02-28,43,2001-01-01,2001-12-31,0.628915,0.540651,0.73529,54.365143,20.3286,564.8707,23.767,0.008891
2002-03,2002-03-01,2002-04-30,43,2001-03-01,2002-02-28,1.352544,2.046718,1.430635,0.926489,33.0198,1219.8431,34.9263,0.014562
2002-05,2002-05-01,2002-06-30,43,2001-05-01,2002-04-30,2.236588,7.15187,2.674298,1.760564,58.3814,4872.9995,69.8069,0.024717
2002-07,2002-07-01,2002-08-31,45,2001-07-01,2002-06-30,5.896268,42.664722,6.531824,0.588792,179.1027,39365.7539,198.4081,0.068293
2002-09,2002-09-01,2002-10-31,44,2001-09-01,2002-08-31,0.828742,0.936441,0.967699,0.202247,95.417,12413.4844,111.4158,0.033725
2002-11,2002-11-01,2002-12-31,43,2001-11-01,2002-10-31,0.227047,0.074059,0.272138,0.144053,45.5105,2975.5586,54.5487,0.016487
2003-01,2003-01-01,2003-02-28,43,2002-01-01,2002-12-31,0.291382,0.098475,0.313808,0.153382,66.24,5089.1113,71.338,0.022511
2003-03,2003-03-01,2003-04-30,43,2002-03-01,2003-02-28,0.096873,0.019875,0.140978,0.081457,23.9642,1216.2351,34.8746,0.008229
2003-05,2003-05-01,2003-06-30,43,2002-05-01,2003-04-30,0.150916,0.029888,0.172881,0.319359,32.6644,1400.1528,37.4186,0.011531
2003-07,2003-07-01,2003-08-31,44,2002-07-01,2003-06-30,0.365677,0.16338,0.404203,0.793045,47.9025,2803.6228,52.9492,0.016659
2003-09,2003-09-01,2003-10-31,45,2002-09-01,2003-08-31,0.436678,0.267062,0.516781,2.379137,32.0447,1438.1417,37.9228,0.011145
2003-11,2003-11-01,2003-12-31,43,2002-11-01,2003-10-31,0.902111,0.95349,0.976468,1.314076,57.2319,3837.7144,61.9493,0.020352
2004-01,2004-01-01,2004-02-29,42,2003-01-01,2003-12-31,0.896936,1.159492,1.076797,0.291683,45.2679,2953.4155,54.3453,0.016677
2004-03,2004-03-01,2004-04-30,45,2003-03-01,2004-02-29,0.377858,0.238984,0.48886,0.121308,24.6934,1020.6398,31.9475,0.009357
