periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_ref_ini,fecha_ref_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1994-S1,1994-01-01,1994-06-30,129,1993-01-01,1993-12-31,0.989679,1.164027,1.078901,0.57037,23.5402,658.5595,25.6624,0.028355
1994-S2,1994-07-01,1994-12-31,131,1993-07-01,1994-06-30,0.724989,0.802377,0.895755,3.810296,9.5105,138.0782,11.7507,0.011418
1995-S1,1995-01-01,1995-06-30,130,1994-01-01,1994-12-31,3.433196,13.542578,3.680024,0.841886,33.5421,1292.6644,35.9536,0.038571
1995-S2,1995-07-01,1995-12-31,130,1994-07-01,1995-06-30,3.607136,16.059114,4.007382,0.628825,79.4992,7800.4893,88.3204,0.081227
1996-S1,1996-01-01,1996-06-30,130,1995-01-01,1995-12-31,1.015076,1.187858,1.089889,0.40991,56.7691,3715.282,60.9531,0.053895
1996-S2,1996-07-01,1996-12-31,132,1995-07-01,1996-06-30,0.803407,0.867379,0.931332,21.440718,42.2104,2394.2859,48.9314,0.041711
1997-S1,1997-01-01,1997-06-30,129,1996-01-01,1996-12-31,2.27089,5.795102,2.407302,1.959592,57.3813,3700.0674,60.8282,0.053641
1997-S2,1997-07-01,1997-12-31,132,1996-07-01,1997-06-30,4.416933,26.741795,5.171247,0.636926,127.7964,22386.4902,149.6212,0.101159
1998-S1,1998-01-01,1998-06-30,129,1997-01-01,1997-12-31,0.666119,0.505752,0.711162,0.285087,64.1381,4688.834,68.4751,0.046892
1998-S2,1998-07-01,1998-12-31,132,1997-07-01,1998-06-30,1.353389,2.641437,1.62525,0.501053,123.6179,22037.2422,148.4495,0.079924
1999-S1,1999-01-01,1999-06-30,129,1998-01-01,1998-12-31,0.601992,0.699052,0.836094,0.26144,55.0281,5841.1333,76.4273,0.033303
1999-S2,1999-07-01,1999-12-31,132,1998-07-01,1999-06-30,1.833212,3.84883,1.961843,0.431439,167.067,31965.75,178.7897,0.086185
2000-S1,2000-01-01,2000-06-30,130,1999-01-01,1999-12-31,0.774995,0.789068,0.888295,0.496658,130.9865,22540.8379,150.1361,0.064152
2000-S2,2000-07-01,2000-12-31,130,1999-07-01,2000-06-30,0.425865,0.249989,0.499989,0.150482,34.7308,1662.6642,40.7758,0.015837
2001-S1,2001-01-01,2001-06-30,130,2000-01-01,2000-12-31,0.534199,0.432307,0.657501,0.247258,55.2724,4628.0986,68.0301,0.023834
2001-S2,2001-07-01,2001-12-31,131,2000-07-01,2001-06-30,0.23899,0.091948,0.303229,0.197077,15.8227,403.034,20.0757,0.006822
2002-S1,2002-01-01,2002-06-30,129,2001-01-01,2001-12-31,0.939977,1.844175,1.358004,18.967993,30.3832,1926.7892,43.8952,0.013023
2002-S2,2002-07-01,2002-12-31,132,2001-07-01,2002-06-30,10.279177,120.723854,10.987441,0.719862,312.2361,111389.125,333.7501,0.113209
2003-S1,2003-01-01,2003-06-30,129,2002-01-01,2002-12-31,0.247304,0.0785,0.280178,0.137422,56.2196,4056.7954,63.693,0.019224
2003-S2,2003-07-01,2003-12-31,132,2002-07-01,2003-06-30,0.283956,0.114788,0.338804,0.920479,37.1973,1969.7804,44.3822,0.012978
2004-S1,2004-01-01,2004-06-30,130,2003-01-01,2003-12-31,1.525149,3.051102,1.74674,0.407251,76.9734,7771.6528,88.157,0.028738
2004-S2,2004-07-01,2004-12-31,132,2003-07-01,2004-06-30,1.746132,4.048841,2.012173,0.582557,143.2462,27248.5156,165.0712,0.057304
2005-S1,2005-01-01,2005-06-30,129,2004-01-01,2004-12-31,0.194263,0.048671,0.220616,0.069937,19.585,494.6954,22.2417,0.008358
2005-S2,2005-07-01,2005-12-31,131,2004-07-01,2005-06-30,0.275732,0.091443,0.302395,0.20291,32.5188,1271.8729,35.6633,0.014211
2006-S1,2006-01-01,2006-06-30,130,2005-01-01,2005-12-31,2.805052,17.244965,4.152706,1.076759,89.3085,17480.9785,132.2157,0.036167
2006-S2,2006-07-01,2006-12-31,129,2005-07-01,2006-06-30,2.393168,6.63354,2.575566,7.20532,206.664,49468.5,222.4151,0.088599
2007-S1,2007-01-01,2007-06-30,127,2006-01-01,2006-12-31,1.21357,2.920583,1.708971,0.381741,121.1676,29114.748,170.6304,0.060736
2007-S2,2007-07-01,2007-12-31,130,2006-07-01,2007-06-30,0.414499,0.314358,0.560676,0.571374,66.8162,8168.4492,90.3795,0.032007
2008-S1,2008-01-01,2008-06-30,127,2007-01-01,2007-12-31,1.649523,3.410501,1.846754,0.69281,179.4802,40377.0547,200.9404,0.100302
2008-S2,2008-07-01,2008-12-31,129,2007-07-01,2008-06-30,2.012561,5.348401,2.312661,1.242211,252.9772,84506.2109,290.6995,0.115215
2009-S1,2009-01-01,2009-06-30,128,2008-01-01,2008-12-31,0.659305,0.662797,0.814124,0.567131,141.7936,30656.4707,175.0899,0.059635
2009-S2,2009-07-01,2009-12-31,130,2008-07-01,2009-06-30,0.689339,0.547103,0.739664,0.669478,153.5681,27152.1836,164.7792,0.078176
2010-S1,2010-01-01,2010-06-30,128,2009-01-01,2009-12-31,0.476878,0.253618,0.503605,0.454462,97.6574,10635.9365,103.1307,0.050485
